PERMNO,date,RET,vwretd
47896,1993-04-30,-0.009709,0.003898
47896,1993-05-03,0.003268,0.005280
47896,1993-05-04,0.029316,0.005628
47896,1993-05-05,-0.025316,0.003117
47896,1993-05-06,-0.012987,-0.002661
47896,1993-05-07,-0.009868,-0.001224
47896,1993-05-10,0.016611,0.001909
47896,1993-05-11,0.032680,0.003054
47896,1993-05-12,-0.003165,0.000346
47896,1993-05-13,-0.053968,-0.010594
47896,1993-05-14,-0.016779,-0.000201
47896,1993-05-17,-0.013652,0.001101
47896,1993-05-18,-0.003460,0.000828
47896,1993-05-19,0.038194,0.013576
47896,1993-05-20,0.010033,0.006614
47896,1993-05-21,-0.033113,-0.007490
47896,1993-05-24,0.010274,0.002864
47896,1993-05-25,0.013559,0.002933
47896,1993-05-26,0.050167,0.009680
47896,1993-05-27,-0.022293,-0.001434
47896,1993-05-28,0.000000,-0.003797
47896,1993-06-01,0.016287,0.007014
47896,1993-06-02,-0.025641,0.000655
47896,1993-06-03,-0.003289,-0.001821
47896,1993-06-04,-0.019802,-0.005294
47896,1993-06-07,-0.043771,-0.006375
47896,1993-06-08,0.021127,-0.007302
47896,1993-06-09,0.027586,0.002752
47896,1993-06-10,0.003356,-0.000952
47896,1993-06-11,0.030100,0.003408
47896,1993-06-14,0.009740,0.001398
47896,1993-06-15,0.000000,-0.001233
47896,1993-06-16,0.003215,0.001551
47896,1993-06-17,0.012821,0.002253
47896,1993-06-18,-0.015823,-0.008590
47896,1993-06-21,0.032154,0.003790
47896,1993-06-22,0.018692,-0.000727
47896,1993-06-23,-0.027523,-0.004067
47896,1993-06-24,0.022013,0.006704
47896,1993-06-25,0.006154,0.003476
47896,1993-06-28,0.024465,0.009658
47896,1993-06-29,-0.016000,-0.001965
47896,1993-06-30,0.000000,0.001342
47896,1993-07-01,-0.006116,-0.001565
47896,1993-07-02,-0.018462,-0.004339
47896,1993-07-06,0.009404,-0.007339
47896,1993-07-07,0.003106,0.001197
47896,1993-07-08,0.006192,0.009441
47896,1993-07-09,-0.006154,0.000738
47896,1993-07-12,0.003096,0.001868
47896,1993-07-13,-0.024691,-0.000401
47896,1993-07-14,-0.012658,0.003847
47896,1993-07-15,0.019231,-0.001977
47896,1993-07-16,0.003145,-0.006795
47896,1993-07-19,-0.003135,-0.001340
47896,1993-07-20,0.000000,0.002477
47896,1993-07-21,0.015723,-0.000773
47896,1993-07-22,-0.012384,-0.005532
47896,1993-07-23,0.009404,0.004527
47896,1993-07-26,0.012422,0.005441
47896,1993-07-27,-0.012270,-0.001905
47896,1993-07-28,0.015528,-0.000385
47896,1993-07-29,0.006116,0.005474
47896,1993-07-30,0.003040,-0.003444
47896,1993-08-02,-0.006061,0.004145
47896,1993-08-03,0.015244,-0.000173
47896,1993-08-04,0.015015,0.000112
47896,1993-08-05,0.000000,-0.001034
47896,1993-08-06,-0.005917,0.001617
47896,1993-08-09,0.000000,0.004838
47896,1993-08-10,-0.011905,-0.001235
47896,1993-08-11,-0.003012,0.001395
47896,1993-08-12,-0.003021,-0.002905
47896,1993-08-13,0.006061,0.001830
47896,1993-08-16,-0.018072,0.005155
47896,1993-08-17,-0.018405,0.003123
47896,1993-08-18,0.000000,0.005704
